Date,Race,Rank,Rider,CQ
29/08/2014,Tour du Poitou Charentes,30.,BAGDONAS Gediminas,3
27/08/2014,"Tour du Poitou Charentes, Stage 2 : Marans - Niort",13.,BAGDONAS Gediminas,0
24/08/2014,Vattenfall Cyclassics - Hamburg,44.,BAGDONAS Gediminas,5
17/08/2014,Eneco Tour,62.,BAGDONAS Gediminas,5
17/08/2014,"Eneco Tour, Stage 7 : Riemst (Bel) - Sittard",39.,BAGDONAS Gediminas,0
16/08/2014,"Eneco Tour, Stage 6 : Heerlen (Ned) - La Redoute",90.,BAGDONAS Gediminas,0
15/08/2014,"Eneco Tour, Stage 5 : Geraardsbergen - Geraardsbergen",76.,BAGDONAS Gediminas,0
14/08/2014,"Eneco Tour, Stage 4 : Koksijde - Ardooie",69.,BAGDONAS Gediminas,0
13/08/2014,"Eneco Tour, Stage 3 : Breda - Breda I.T.T.",92.,BAGDONAS Gediminas,0
12/08/2014,"Eneco Tour, Stage 2 : Waalwijk - Vlijmen",63.,BAGDONAS Gediminas,0
11/08/2014,"Eneco Tour, Stage 1 : Terneuzen - Terneuzen",104.,BAGDONAS Gediminas,0
8/08/2014,"Tour de Pologne, Stage 6 : Bukowina Tatrzanska - Bukowina Tatrzanska",DNF,BAGDONAS Gediminas,0
7/08/2014,"Tour de Pologne, Stage 5 : Zakopane - Strbskie Pleso (Svk)",108.,BAGDONAS Gediminas,0
6/08/2014,"Tour de Pologne, Stage 4 : Tarnow - Katowice",69.,BAGDONAS Gediminas,0
5/08/2014,"Tour de Pologne, Stage 3 : Kielce - Rzeszow",63.,BAGDONAS Gediminas,0
4/08/2014,"Tour de Pologne, Stage 2 : Torun - Warszawa",162.,BAGDONAS Gediminas,0
3/08/2014,"Tour de Pologne, Stage 1 : Gdansk - Bydgoszcz",57.,BAGDONAS Gediminas,0
29/06/2014,National Championships Lithuania (Alytus) R.R.,9.,BAGDONAS Gediminas,2
27/06/2014,National Championships Lithuania (Alytus) I.T.T.,3.,BAGDONAS Gediminas,7
8/06/2014,Boucles de la Mayenne,91.,BAGDONAS Gediminas,0
25/05/2014,World Ports Classic,42.,BAGDONAS Gediminas,0
18/05/2014,Tour de Picardie,19.,BAGDONAS Gediminas,6
16/05/2014,"Tour de Picardie, Stage 1 : Fort-Mahon - Estrées-Saint-Denis",15.,BAGDONAS Gediminas,0
11/05/2014,4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais,62.,BAGDONAS Gediminas,0
11/05/2014,"4 Jours de Dunkerque / Tour du Nord-Pas-de-Calais, Stage 5 : Saint-Pol-sur-Mer - Dunkerque",3.,BAGDONAS Gediminas,10
4/05/2014,GP de la Somme,70.,BAGDONAS Gediminas,0
27/04/2014,La Roue Tourangelle,33.,BAGDONAS Gediminas,0
13/04/2014,Paris - Roubaix,47.,BAGDONAS Gediminas,5
9/04/2014,Scheldeprijs,29.,BAGDONAS Gediminas,5
6/04/2014,Ronde van Vlaanderen,DNF,BAGDONAS Gediminas,0
30/03/2014,Gent - Wevelgem,152.,BAGDONAS Gediminas,5
26/03/2014,Dwars door Vlaanderen,31.,BAGDONAS Gediminas,0
23/03/2014,GP Cholet - Pays De Loire,8.,BAGDONAS Gediminas,20
22/03/2014,Classic Loire Atlantique,38.,BAGDONAS Gediminas,0
9/03/2014,Driedaagse van West-Vlaanderen,21.,BAGDONAS Gediminas,4
5/03/2014,Le Samyn,24.,BAGDONAS Gediminas,0
2/03/2014,Kuurne - Brussel - Kuurne,73.,BAGDONAS Gediminas,0
1/03/2014,Omloop Het Nieuwsblad,86.,BAGDONAS Gediminas,0
21/02/2014,Trofeo Laigueglia,43.,BAGDONAS Gediminas,0
14/02/2014,Tour of Qatar,50.,BAGDONAS Gediminas,5
12/02/2014,"Tour of Qatar, Stage 4 : Dukhan - Mesaieed",14.,BAGDONAS Gediminas,0
5/10/2014,Il Lombardia,11.0,BARDET Romain,54
28/09/2014,World Championships (Ponferrada) R.R.,62.0,BARDET Romain,10
17/09/2014,GP de Wallonie,67.0,BARDET Romain,0
14/09/2014,GP de Montréal,5.0,BARDET Romain,86
12/09/2014,GP de Québec,24.0,BARDET Romain,12
7/09/2014,GP de Fourmies,91.0,BARDET Romain,0
31/08/2014,GP Ouest France - Plouay,85.0,BARDET Romain,5
16/08/2014,Tour de l'Ain,2.0,BARDET Romain,80
16/08/2014,"Tour de l'Ain, Stage 4 : Nantua - Arbent",7.0,BARDET Romain,0
15/08/2014,"Tour de l'Ain, Stage 3 : Lagnieu - Lelex-Mont Jura",2.0,BARDET Romain,10
12/08/2014,"Tour de l'Ain, Prologue : Saint-Amour I.T.T.",18.0,BARDET Romain,0
2/08/2014,Clasica San Sebastian,18.0,BARDET Romain,18
27/07/2014,Tour de France,6.0,BARDET Romain,260
27/07/2014,"Tour de France, Stage 21 : Evry - Paris",18.0,BARDET Romain,0
26/07/2014,"Tour de France, Stage 20 : Bergerac - Perigueux I.T.T.",26.0,BARDET Romain,0
25/07/2014,"Tour de France, Stage 19 : Maubourguet - Bergerac",80.0,BARDET Romain,0
24/07/2014,"Tour de France, Stage 18 : Pau - Hautacam",6.0,BARDET Romain,10
23/07/2014,"Tour de France, Stage 17 : Saint-Gaudens - Saint-Lary-Soulan/Pla d'Adet",12.0,BARDET Romain,0
22/07/2014,"Tour de France, Stage 16 : Carcassonne - Bagneres-de-Luchon",30.0,BARDET Romain,0
20/07/2014,"Tour de France, Stage 15 : Tallard - Nîmes",24.0,BARDET Romain,0
19/07/2014,"Tour de France, Stage 14 : Grenoble - Risoul",5.0,BARDET Romain,15
18/07/2014,"Tour de France, Stage 13 : Saint-Etienne - Chamrousse",7.0,BARDET Romain,5
17/07/2014,"Tour de France, Stage 12 : Bourg-en-Bresse - Saint-Etienne",39.0,BARDET Romain,0
16/07/2014,"Tour de France, Stage 11 : Besancon - Oyonnax",11.0,BARDET Romain,0
14/07/2014,"Tour de France, Stage 10 : Mulhouse - La Planche des Belles Filles",5.0,BARDET Romain,15
13/07/2014,"Tour de France, Stage 9 : Gerardmer - Mulhouse",46.0,BARDET Romain,0
12/07/2014,"Tour de France, Stage 8 : Tomblaine - Gerardmer/La Mauselaine",9.0,BARDET Romain,2
11/07/2014,"Tour de France, Stage 7 : Epernay - Nancy",15.0,BARDET Romain,0
10/07/2014,"Tour de France, Stage 6 : Arras - Reims",54.0,BARDET Romain,0
9/07/2014,"Tour de France, Stage 5 : Ieper (Bel) - Arenberg",27.0,BARDET Romain,0
8/07/2014,"Tour de France, Stage 4 : Le Touquet Paris-Plage - Lille",35.0,BARDET Romain,0
7/07/2014,"Tour de France, Stage 3 : Cambridge (GBr) - London (GBr)",30.0,BARDET Romain,0
6/07/2014,"Tour de France, Stage 2 : York (GBr) - Sheffield (GBr)",10.0,BARDET Romain,1
5/07/2014,"Tour de France, Stage 1 : Leeds (GBr) - Harrogate (GBr)",36.0,BARDET Romain,0
29/06/2014,National Championships France (Futuroscope) R.R.,37.0,BARDET Romain,0
15/06/2014,Critérium du Dauphiné,5.0,BARDET Romain,120
15/06/2014,"Critérium du Dauphiné, Stage 8 : Megève - Courchevel",2.0,BARDET Romain,28
14/06/2014,"Critérium du Dauphiné, Stage 7 : Ville-la-Grand - Finaut/Émosson (Sui)",9.0,BARDET Romain,0
13/06/2014,"Critérium du Dauphiné, Stage 6 : Grenoble - Poisy",40.0,BARDET Romain,0
12/06/2014,"Critérium du Dauphiné, Stage 5 : Sisteron - La Mure",5.0,BARDET Romain,5
11/06/2014,"Critérium du Dauphiné, Stage 4 : Montélimar - Gap",14.0,BARDET Romain,0
10/06/2014,"Critérium du Dauphiné, Stage 3 : Ambert - Le Teil",20.0,BARDET Romain,0
9/06/2014,"Critérium du Dauphiné, Stage 2 : Tarare - Col du Béal",19.0,BARDET Romain,0
8/06/2014,"Critérium du Dauphiné, Stage 1 : Lyon - Lyon I.T.T.",57.0,BARDET Romain,0
1/06/2014,Bayern-Rundfahrt,15.0,BARDET Romain,22
29/05/2014,"Bayern-Rundfahrt, Stage 2 : Freilassing - Reit im Winkl (Winklmoos-Alm)",4.0,BARDET Romain,5
28/05/2014,"Bayern-Rundfahrt, Stage 1 : Vilshofen - Freilassing",18.0,BARDET Romain,0
27/04/2014,Liège - Bastogne - Liège,10.0,BARDET Romain,62
23/04/2014,Flèche Wallonne,35.0,BARDET Romain,5
20/04/2014,Amstel Gold Race,33.0,BARDET Romain,5
15/04/2014,Paris - Camembert,10.0,BARDET Romain,12
30/03/2014,Volta a Catalunya,4.0,BARDET Romain,116
30/03/2014,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona",8.0,BARDET Romain,1
29/03/2014,"Volta a Catalunya, Stage 6 : El Vendrell - Vilanova i la Geltru",26.0,BARDET Romain,0
28/03/2014,"Volta a Catalunya, Stage 5 : Llanars-Vall de Camprodon - Valls",16.0,BARDET Romain,0
27/03/2014,"Volta a Catalunya, Stage 4 : Alp - Vallter 2000/Setcases",2.0,BARDET Romain,22
26/03/2014,"Volta a Catalunya, Stage 3 : Banyoles - Alp/La Molina",9.0,BARDET Romain,0
25/03/2014,"Volta a Catalunya, Stage 2 : Mataro - Girona",21.0,BARDET Romain,0
24/03/2014,"Volta a Catalunya, Stage 1 : Calella - Calella",26.0,BARDET Romain,0
16/03/2014,Paris - Nice,36.0,BARDET Romain,5
16/03/2014,"Paris - Nice, Stage 8 : Nice - Nice",14.0,BARDET Romain,0
15/03/2014,"Paris - Nice, Stage 7 : Mougins - Biot",36.0,BARDET Romain,0
14/03/2014,"Paris - Nice, Stage 6 : Saint-Saturnin-les-Avignon - Fayence",38.0,BARDET Romain,0
13/03/2014,"Paris - Nice, Stage 5 : Crèche-sur-Saône - Rive-de-Gier",100.0,BARDET Romain,0
12/03/2014,"Paris - Nice, Stage 4 : Nevers - Belleville",20.0,BARDET Romain,0
11/03/2014,"Paris - Nice, Stage 3 : Toucy - Magny-Cours",38.0,BARDET Romain,0
10/03/2014,"Paris - Nice, Stage 2 : Rambouillet - Saint-Georges-sur-Baulche",28.0,BARDET Romain,0
9/03/2014,"Paris - Nice, Stage 1 : Mantes-La-Jolie - Mantes-La-Jolie",103.0,BARDET Romain,0
2/03/2014,Valence Drôme Classic,1.0,BARDET Romain,80
1/03/2014,Classic Sud Ardèche - Souvenir Francis Delpech,4.0,BARDET Romain,36
23/02/2014,Tour of Oman,13.0,BARDET Romain,30
22/02/2014,"Tour of Oman, Stage 5 : Bidbid - Jabal Al Akhdhar (Green Mountain)",8.0,BARDET Romain,0
20/02/2014,"Tour of Oman, Stage 3 : Muscat - Al Bustan",11.0,BARDET Romain,0
2/02/2014,GP La Marseillaise,10.0,BARDET Romain,12
14/10/2014,Tour of Beijing,65.,BERARD Julien,5
14/10/2014,"Tour of Beijing, Stage 5 : Tiananmen Square - Bird’s Nest",53.,BERARD Julien,0
13/10/2014,"Tour of Beijing, Stage 4 : Yanqing - Mentougou Miaofeng",72.,BERARD Julien,0
12/10/2014,"Tour of Beijing, Stage 3 : Yanqing - Qianjiadian",111.,BERARD Julien,0
11/10/2014,"Tour of Beijing, Stage 2 : Chong Li - Yan Jia Ping",66.,BERARD Julien,0
10/10/2014,"Tour of Beijing, Stage 1 : Chong Li - Zhangjiakou",78.,BERARD Julien,0
28/09/2014,Tour du Gévaudan Languedoc-Roussillon,47.,BERARD Julien,0
17/09/2014,GP de Wallonie,63.,BERARD Julien,0
14/09/2014,Tour du Doubs,70.,BERARD Julien,0
6/09/2014,Brussels Cycling Classic,58.,BERARD Julien,0
31/08/2014,GP Ouest France - Plouay,62.,BERARD Julien,5
24/08/2014,Vattenfall Cyclassics - Hamburg,76.,BERARD Julien,5
22/08/2014,Tour du Limousin,32.,BERARD Julien,0
22/08/2014,"Tour du Limousin, Stage 4 : Meuzac - Limoges",18.,BERARD Julien,0
16/08/2014,Tour de l'Ain,46.,BERARD Julien,0
13/08/2014,"Tour de l'Ain, Stage 1 : Lac de Chalain - Montrevel-en-Bresse",19.,BERARD Julien,0
29/07/2014,"Tour de Wallonie, Stage 4 : Herve - Waremme",DNS,BERARD Julien,0
29/06/2014,National Championships France (Futuroscope) R.R.,86.,BERARD Julien,0
22/06/2014,Route du Sud,10.,BERARD Julien,25
21/06/2014,"Route du Sud, Stage 2 : Bagnères-de-Bigorre - Val Louron",10.,BERARD Julien,0
20/06/2014,"Route du Sud, Stage 1 : Lectoure - Payolle-en-Campan",20.,BERARD Julien,0
12/06/2014,GP Kanton Aargau - Gippingen,17.,BERARD Julien,9
1/06/2014,Giro d'Italia,70.,BERARD Julien,15
1/06/2014,"Giro d'Italia, Stage 21 : Gemona del Friuli - Trieste",31.,BERARD Julien,0
31/05/2014,"Giro d'Italia, Stage 20 : Maniago - Monte Zoncolan",73.,BERARD Julien,0
30/05/2014,"Giro d'Italia, Stage 19 : Bassano del Grappa - Cima Grappa I.T.T.",134.,BERARD Julien,0
29/05/2014,"Giro d'Italia, Stage 18 : Belluno - Rifugio Panarotta",82.,BERARD Julien,0
28/05/2014,"Giro d'Italia, Stage 17 : Sarnonico - Vittorio Veneto",80.,BERARD Julien,0
27/05/2014,"Giro d'Italia, Stage 16 : Ponte di Legno - Val Martello",75.,BERARD Julien,0
25/05/2014,"Giro d'Italia, Stage 15 : Valdengo - Plan di Montecampione",57.,BERARD Julien,0
24/05/2014,"Giro d'Italia, Stage 14 : Aglie - Oropa",68.,BERARD Julien,0
23/05/2014,"Giro d'Italia, Stage 13 : Fossano - Rivarolo Canavese",72.,BERARD Julien,0
22/05/2014,"Giro d'Italia, Stage 12 : Barbaresco - Barolo I.T.T.",149.,BERARD Julien,0
21/05/2014,"Giro d'Italia, Stage 11 : Collecchio - Savona",68.,BERARD Julien,0
20/05/2014,"Giro d'Italia, Stage 10 : Modena - Salsomaggiore Terme",124.,BERARD Julien,0
18/05/2014,"Giro d'Italia, Stage 9 : Lugo - Sestola",38.,BERARD Julien,0
17/05/2014,"Giro d'Italia, Stage 8 : Foligno - Montecopiolo",52.,BERARD Julien,0
16/05/2014,"Giro d'Italia, Stage 7 : Frosinone - Foligno",80.,BERARD Julien,0
15/05/2014,"Giro d'Italia, Stage 6 : Sassano - Montecassino",59.,BERARD Julien,0
14/05/2014,"Giro d'Italia, Stage 5 : Taranto - Viggiano",108.,BERARD Julien,0
13/05/2014,"Giro d'Italia, Stage 4 : Giovinazzo - Bari",72.,BERARD Julien,0
11/05/2014,"Giro d'Italia, Stage 3 : Armagh (Gbr) - Dublin (Irl)",104.,BERARD Julien,0
10/05/2014,"Giro d'Italia, Stage 2 : Belfast (Gbr) - Belfast (Gbr)",138.,BERARD Julien,0
9/05/2014,"Giro d'Italia, Stage 1 : Belfast (Gbr) T.T.T.",-,BERARD Julien,0
25/04/2014,Giro del Trentino,66.,BERARD Julien,0
11/04/2014,Circuit de la Sarthe - Pays de la Loire,15.,BERARD Julien,10
10/04/2014,"Circuit de la Sarthe - Pays de la Loire, Stage 4 : Angers - Pré-en-Pail",13.,BERARD Julien,0
8/04/2014,"Circuit de la Sarthe - Pays de la Loire, Stage 1 : Saint-Jean-de-Monts - Saint-Géréon",20.,BERARD Julien,0
4/04/2014,Route Adélie de Vitré,10.,BERARD Julien,12
30/03/2014,Critérium International,33.,BERARD Julien,5
29/03/2014,"Critérium International, Stage 1 : Porto-Vecchio - Porto-Vecchio",10.,BERARD Julien,0
22/03/2014,Classic Loire Atlantique,4.,BERARD Julien,36
9/03/2014,Roma Maxima,28.,BERARD Julien,0
6/03/2014,GP Citta di Camaiore,81.,BERARD Julien,0
2/03/2014,Valence Drôme Classic,23.,BERARD Julien,0
16/02/2014,Tour Méditerranéen,73.,BERARD Julien,0
26/01/2014,Tour Down Under,44.,BERARD Julien,5
26/01/2014,"Tour Down Under, Stage 6 : Adelaide, circuit race",120.,BERARD Julien,0
25/01/2014,"Tour Down Under, Stage 5 : McLaren Vale - Old Willunga Hill",49.,BERARD Julien,0
24/01/2014,"Tour Down Under, Stage 4 : Unley - Victor Harbor",42.,BERARD Julien,0
23/01/2014,"Tour Down Under, Stage 3 : Norwood - Campbelltown",77.,BERARD Julien,0
22/01/2014,"Tour Down Under, Stage 2 : Prospect - Stirling",93.,BERARD Julien,0
21/01/2014,"Tour Down Under, Stage 1 : Nuriootpa - Angaston",49.,BERARD Julien,0
14/10/2014,Tour of Beijing,45.,BETANCUR GOMEZ Carlos Alberto,5
14/10/2014,"Tour of Beijing, Stage 5 : Tiananmen Square - Bird’s Nest",127.,BETANCUR GOMEZ Carlos Alberto,0
13/10/2014,"Tour of Beijing, Stage 4 : Yanqing - Mentougou Miaofeng",48.,BETANCUR GOMEZ Carlos Alberto,0
12/10/2014,"Tour of Beijing, Stage 3 : Yanqing - Qianjiadian",52.,BETANCUR GOMEZ Carlos Alberto,0
11/10/2014,"Tour of Beijing, Stage 2 : Chong Li - Yan Jia Ping",24.,BETANCUR GOMEZ Carlos Alberto,0
10/10/2014,"Tour of Beijing, Stage 1 : Chong Li - Zhangjiakou",37.,BETANCUR GOMEZ Carlos Alberto,0
5/10/2014,Il Lombardia,DNF,BETANCUR GOMEZ Carlos Alberto,0
28/09/2014,World Championships (Ponferrada) R.R.,DNF,BETANCUR GOMEZ Carlos Alberto,0
14/09/2014,Vuelta a España,158.,BETANCUR GOMEZ Carlos Alberto,15
14/09/2014,"Vuelta a España, Stage 21 : Santiago de Compostela I.T.T.",54.,BETANCUR GOMEZ Carlos Alberto,0
13/09/2014,"Vuelta a España, Stage 20 : Santa Estebo de Ribas do Sil - Ancares",106.,BETANCUR GOMEZ Carlos Alberto,0
12/09/2014,"Vuelta a España, Stage 19 : Salvaterra de Miño - Cangas do Morazzo",118.,BETANCUR GOMEZ Carlos Alberto,0
11/09/2014,"Vuelta a España, Stage 18 : La Estrada - Monte Castrove en Meis",88.,BETANCUR GOMEZ Carlos Alberto,0
10/09/2014,"Vuelta a España, Stage 17 : Ortigueira - La Coruña",106.,BETANCUR GOMEZ Carlos Alberto,0
8/09/2014,"Vuelta a España, Stage 16 : San Martin del Rey Aurelio - Lagos de Somiedo",149.,BETANCUR GOMEZ Carlos Alberto,0
7/09/2014,"Vuelta a España, Stage 15 : Oviedo - Lagos de Covadonga",100.,BETANCUR GOMEZ Carlos Alberto,0
6/09/2014,"Vuelta a España, Stage 14 : Santander - La Camperona",179.,BETANCUR GOMEZ Carlos Alberto,0
5/09/2014,"Vuelta a España, Stage 13 : Belorado - Obregon",144.,BETANCUR GOMEZ Carlos Alberto,0
4/09/2014,"Vuelta a España, Stage 12 : Logroño - Logroño",143.,BETANCUR GOMEZ Carlos Alberto,0
3/09/2014,"Vuelta a España, Stage 11 : Pamplona - San Miguel de Aralar",141.,BETANCUR GOMEZ Carlos Alberto,0
2/09/2014,"Vuelta a España, Stage 10 : Santa Maria de Veruela - Borja I.T.T.",174.,BETANCUR GOMEZ Carlos Alberto,0
31/08/2014,"Vuelta a España, Stage 9 : Carboneras de Guadazon - Estacion de Valdelinares",153.,BETANCUR GOMEZ Carlos Alberto,0
30/08/2014,"Vuelta a España, Stage 8 : Baeza - Albacete",176.,BETANCUR GOMEZ Carlos Alberto,0
29/08/2014,"Vuelta a España, Stage 7 : Alhendin - Alcaudete",161.,BETANCUR GOMEZ Carlos Alberto,0
28/08/2014,"Vuelta a España, Stage 6 : Benalmadena - La Zubia/Cumbres Verdes",190.,BETANCUR GOMEZ Carlos Alberto,0
27/08/2014,"Vuelta a España, Stage 5 : Priego de Cordoba - Ronda",160.,BETANCUR GOMEZ Carlos Alberto,0
26/08/2014,"Vuelta a España, Stage 4 : Mairena del Alcor - Cordoba",189.,BETANCUR GOMEZ Carlos Alberto,0
25/08/2014,"Vuelta a España, Stage 3 : Cadiz - Arcos de la Frontera",193.,BETANCUR GOMEZ Carlos Alberto,0
24/08/2014,"Vuelta a España, Stage 2 : Algeciras - San Fernando",180.,BETANCUR GOMEZ Carlos Alberto,0
23/08/2014,"Vuelta a España, Stage 1 : Jerez De La Frontera T.T.T.",15.,BETANCUR GOMEZ Carlos Alberto,0
